Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
2104,526,Wheel_2,0.89,325,132,467,272,118,14
2108,527,Wheel_1,0.88,848,146,962,286,126,20
2108,527,Wheel_2,0.91,333,132,475,271,118,14
2112,528,Wheel_1,0.89,854,146,962,286,129,17
2112,528,Wheel_2,0.9,341,131,483,271,118,13
2116,529,Wheel_1,0.88,861,145,962,286,132,13
2116,529,Wheel_2,0.9,349,131,491,271,118,13
2120,530,Wheel_1,0.88,870,145,962,286,134,11
2120,530,Wheel_2,0.9,357,131,500,270,119,12
2124,531,Wheel_1,0.87,876,145,962,286,138,7
2124,531,Wheel_2,0.9,364,131,507,271,119,12
2128,532,Wheel_1,0.85,886,146,962,286,141,5
2128,532,Wheel_2,0.9,373,130,515,271,119,11
2132,533,Wheel_1,0.84,895,147,962,285,144,3
2132,533,Wheel_2,0.9,381,130,523,270,119,11
2136,534,Wheel_1,0.83,903,149,962,284,146,3
2136,534,Wheel_2,0.9,388,130,531,269,118,12
2140,535,Wheel_1,0.82,908,151,962,283,140,11
2140,535,Wheel_2,0.9,397,130,540,269,118,12
2144,536,Wheel_1,0.78,918,152,962,283,143,9
2144,536,Wheel_2,0.9,405,130,548,271,118,12
2148,537,Wheel_2,0.9,414,130,557,271,118,12
2152,538,Wheel_2,0.9,421,129,564,272,118,11
2156,539,Wheel_2,0.9,430,131,572,273,117,14
2160,540,Wheel_2,0.9,439,132,582,274,117,15
2164,541,Wheel_2,0.9,447,134,588,276,118,16
2168,542,Wheel_2,0.91,457,137,598,278,118,19
2172,543,Wheel_2,0.9,466,138,606,277,119,19
2176,544,Wheel_2,0.91,474,138,613,276,120,18
2180,545,Wheel_2,0.9,483,138,623,276,121,17
2184,546,Wheel_2,0.9,491,138,631,277,122,16
2188,547,Wheel_2,0.9,498,138,640,278,123,15
2192,548,Wheel_2,0.9,505,139,648,277,123,16
2196,549,Wheel_2,0.91,513,139,655,277,124,15
2200,550,Wheel_2,0.91,521,139,665,277,125,14
2204,551,Wheel_2,0.91,529,139,672,277,126,13
2208,552,Wheel_2,0.91,539,140,681,277,127,13
2212,553,Wheel_2,0.91,547,140,689,277,127,13
2216,554,Wheel_2,0.91,556,141,697,276,128,13
2220,555,Wheel_2,0.91,566,141,707,276,128,13
2224,556,Wheel_2,0.9,575,141,715,276,129,12
2228,557,Wheel_2,0.9,584,142,723,276,129,13
2232,558,Wheel_2,0.9,591,141,732,277,129,12
2236,559,Wheel_2,0.91,600,141,740,276,129,12
2240,560,Wheel_2,0.91,608,141,749,276,129,12
2244,561,Wheel_2,0.91,617,141,756,276,128,13
2248,562,Wheel_2,0.9,627,141,766,277,128,13
2252,563,Wheel_2,0.91,635,141,773,276,128,13
2256,564,Wheel_2,0.91,644,141,782,276,127,14
2260,565,Wheel_2,0.9,652,141,790,276,127,14
2264,566,Wheel_2,0.9,661,141,798,275,127,14
2268,567,Wheel_2,0.9,669,141,807,275,126,15
2272,568,Wheel_2,0.9,677,141,816,276,126,15
2276,569,Wheel_2,0.91,686,141,825,275,126,15
2280,570,Wheel_2,0.91,694,141,834,275,126,15
2284,571,Wheel_2,0.91,702,141,841,275,126,15
2288,572,Wheel_2,0.91,711,141,850,275,126,15
2292,573,Wheel_2,0.91,718,141,859,275,126,15
2296,574,Wheel_2,0.9,727,141,868,275,126,15
2300,575,Wheel_2,0.9,736,141,877,275,126,15
2304,576,Wheel_2,0.9,745,142,885,275,126,16
2308,577,Wheel_2,0.9,755,142,895,276,127,15
2312,578,Wheel_2,0.9,763,142,903,275,127,15
2316,579,Wheel_2,0.9,772,142,913,275,127,15
2320,580,Wheel_2,0.9,780,142,921,275,127,15
2324,581,Wheel_2,0.9,788,143,930,276,128,15
2328,582,Wheel_2,0.9,797,142,939,275,128,14
2332,583,Wheel_2,0.9,806,143,948,275,128,15
2336,584,Wheel_2,0.89,815,143,958,276,128,15
2340,585,Wheel_2,0.89,824,144,962,279,129,15
2344,586,Wheel_2,0.89,833,145,962,282,130,15
2348,587,Wheel_2,0.88,841,147,962,284,132,15
2352,588,Wheel_2,0.88,850,149,962,285,134,15
2356,589,Wheel_2,0.88,859,150,962,285,137,13
2360,590,Wheel_2,0.88,869,150,962,285,140,10
2364,591,Wheel_2,0.87,877,151,962,284,143,8
2368,592,Wheel_2,0.85,886,151,962,284,147,4
2372,593,Wheel_2,0.84,895,152,962,283,151,1
2376,594,Wheel_2,0.84,903,152,962,283,139,13
2380,595,Wheel_2,0.81,913,153,962,282,141,12
2384,596,Wheel_2,0.78,921,153,962,282,149,4
