Original_Video_Frame,Output_Video_Frame,Wheel_ID,Confidence,Wheel_X1,Wheel_Y1,Wheel_X2,Wheel_Y2,Wheel_Well_Y,Clearance_Distance_px
2136,534,Wheel_2,0.91,583,142,720,272,131,11
2140,535,Wheel_2,0.9,590,142,727,273,131,11
2144,536,Wheel_2,0.9,596,142,733,273,131,11
2148,537,Wheel_2,0.9,603,142,739,274,130,12
2152,538,Wheel_2,0.9,610,142,746,273,130,12
2156,539,Wheel_2,0.9,616,142,753,273,130,12
2160,540,Wheel_2,0.9,623,142,758,272,130,12
2164,541,Wheel_2,0.9,629,142,765,271,130,12
2168,542,Wheel_2,0.9,636,142,771,272,130,12
2172,543,Wheel_2,0.9,642,142,777,271,130,12
2176,544,Wheel_2,0.9,648,143,783,271,130,13
2180,545,Wheel_2,0.9,655,143,790,271,130,13
2184,546,Wheel_2,0.9,662,143,797,271,130,13
2188,547,Wheel_2,0.91,669,143,803,272,130,13
2192,548,Wheel_2,0.9,677,143,811,272,130,13
2196,549,Wheel_2,0.9,684,143,818,272,130,13
2200,550,Wheel_2,0.9,691,143,825,272,130,13
2204,551,Wheel_2,0.9,697,143,832,272,130,13
2208,552,Wheel_2,0.9,704,144,839,272,130,14
2212,553,Wheel_2,0.9,711,144,845,271,131,13
2216,554,Wheel_2,0.9,718,144,852,271,131,13
2220,555,Wheel_2,0.89,724,144,858,271,131,13
2224,556,Wheel_2,0.9,731,144,865,271,131,13
2228,557,Wheel_2,0.9,738,144,873,271,131,13
2232,558,Wheel_2,0.89,744,144,880,271,131,13
2236,559,Wheel_2,0.9,751,145,886,272,130,15
2240,560,Wheel_2,0.9,759,144,894,272,132,12
2244,561,Wheel_2,0.89,766,145,901,272,132,13
2248,562,Wheel_2,0.91,773,145,908,272,132,13
2252,563,Wheel_2,0.9,780,145,916,272,132,13
2256,564,Wheel_2,0.9,786,145,922,272,132,13
2260,565,Wheel_2,0.9,793,145,929,272,132,13
2264,566,Wheel_2,0.9,800,145,936,272,132,13
2268,567,Wheel_2,0.89,806,145,942,273,130,15
2272,568,Wheel_2,0.9,813,146,950,274,128,18
2276,569,Wheel_2,0.89,820,146,958,275,132,14
2280,570,Wheel_2,0.89,827,148,962,277,115,33
2284,571,Wheel_2,0.89,833,150,962,279,134,16
2288,572,Wheel_2,0.89,841,151,962,280,135,16
2292,573,Wheel_2,0.89,848,151,962,280,135,16
2296,574,Wheel_2,0.89,854,151,962,280,139,12
2300,575,Wheel_2,0.88,862,152,962,280,141,11
2304,576,Wheel_2,0.88,870,152,962,280,144,8
2308,577,Wheel_2,0.87,876,153,962,280,147,6
2312,578,Wheel_2,0.86,883,153,962,280,150,3
2316,579,Wheel_2,0.85,891,153,962,280,142,11
2320,580,Wheel_2,0.85,896,154,962,279,152,2
2324,581,Wheel_2,0.84,903,155,962,278,155,0
2328,582,Wheel_2,0.83,909,155,962,278,155,0
2332,583,Wheel_2,0.81,916,155,962,278,155,0
2336,584,Wheel_2,0.77,922,160,962,278,159,1
